date,title,subtitle,image,text
-100 000,The Birth of Calculus,,card_m100000.png,"The word 'calculus' comes from the Latin 'calculus', which means ‘pebble.’ Long before numbers were invented, shepherds counted their sheep using small stones: one animal, one pebble. When all the sheep had returned to the pen, the number of stones gave the exact count. Thus, arithmetic was born."
-3 300,Writing: Preserving Information,,card_m3300.png,"The Sumerians invented cuneiform writing in Mesopotamia. For the first time, information could be permanently recorded on clay tablets rather than memorized by humans. This externalization of memory was an essential step toward data storage, one of the foundations of computer science."
-3 000,Egyptian numerals,,card_m3000.png,"The Egyptians developed a comprehensive system for writing numbers that enabled them to count, measure, and carry out major engineering projects. The emergence of symbols dedicated to quantities marked an important milestone in the history of calculation."
-1 800,Babylonian tablets: \n solving equations,,card_m1800.png,"Using clay tablets inscribed with cuneiform, they developed algorithmic methods for solving algebraic problems. More than three millennia before the advent of computer science, they demonstrated that computational rules could be applied systematically, foreshadowing future algorithms."
- 300,Euclid: The First Famous Algorithm,,card_m300.png,"In 'The Elements', Euclid describes a systematic method for calculating the greatest common divisor of two numbers. More than two thousand years later, this algorithm is still taught and used in computer science. It perfectly illustrates that a problem can be solved by a sequence of precise instructions."
450,Invention of Zero,,card_450.png,"Around the 5th century in India, the mathematician and astronomer Brahmagupta introduced a new symbol to represent absence. By depicting emptiness, nothingness, and the void, he finally made representable what had previously been unrepresentable. Zero thus paved the way for positional notation. Passed on to the Arab world and then to Europe, this system became the universal language of mathematics."
820,Al-Khwārizmī Invents Algorithms,,card_820.png," The Persian scholar Al-Khwārizmī wrote a treatise describing systematic methods for performing calculations. His Latinized name, Algoritmi, gave rise to the word 'algorithm.' His work helped spread the Indo-Arabic numerals to the West and established the idea that a calculation can be performed by following a precise procedure."
1200,Invention of the abacus,,card_1200.png,"Building on ancient calculation techniques, the abacus became widely used in China around the 13th century. Thanks to its rows of movable beads, it allowed numbers to be represented and arithmetic operations to be performed quickly. By making quantities visible and manipulable, it marked a major milestone in the history of calculating tools and foreshadowed future calculating machines."
1202,Introduction of Indo-Arabic numerals to Europe,Leonardo Fibonacci,card_1202.png,"Leonardo Fibonacci published the 'Liber Abaci', a work that introduced Indo-Arabic numerals and modern methods of calculation to Europe. Simpler than Roman numerals, these new numerals revolutionized commerce, accounting, and mathematics."
1450, Invention of the printing press, Johannes Gutenberg, card_1450.png,"Revolutionized Europe in Mainz with the invention of movable metal type. His screw press, adapted from those used by winemakers, enabled the rapid and mass reproduction of texts. In 1455, he completed the '42-line Bible,' the first major printed book. This technology broke the monopoly of the scribal monks and democratized access to knowledge. It was the driving force behind the Renaissance and the spread of ideas across the continent. This innovation transformed the dissemination of knowledge by enabling the mass production of books and documents, thereby paving the way for a new era of communication and cultural exchange."
1614, Invention of the logarithm, John Napier, card_1614.png," John Napier invented logarithms, a method that converts multiplication into addition and division into subtraction. Scientific calculations became faster, and this innovation would be used for more than three centuries. Combined with logarithmic tables and later with slide rules, they became essential tools for engineers, astronomers, and scientists before the advent of electronic calculators."
1622,Invention of the slide rule,William Oughtred,card_1622.png,"William Oughtred invented the slide rule by applying Napier's logarithms to simplify multiplication, division, and complex calculations. For nearly 350 years, it served as a tool for scientists, until the advent of electronic calculators. Compact and fast, it enabled calculations with remarkable precision and supported major scientific advances, from industrial engineering to the space race."
1642,Invention of the Pascaline,Blaise Pascal,card_1642.png,"Blaise Pascal invented the Pascaline, the first mechanical calculating machine. Thanks to its gear wheels, it automated arithmetic operations and freed calculations from relying solely on human intervention. This invention marked the birth of mechanical calculation."
1690,Invention of Leibniz’s mechanical calculator, Gottfried Wilhelm Leibniz, card_1690.png,"Gottfried Wilhelm Leibniz designed an arithmetic machine capable of multiplication. Thanks to its grooved cylinders, it stored the multiplicand and automated the calculation. Leibniz was also interested in the binary system, paving the way for the theoretical foundations of computer science."
1703, Binary Calculation Explained, Gottfried Wilhelm Leibniz, card_1703.png,"Leibniz published 'Explanation of Binary Arithmetic', demonstrating that all numbers can be represented using only two digits: 0 and 1. This idea, purely theoretical at the time, showed that a simple numeral system could represent all of arithmetic and mathematical operations. Three centuries later, it would become the fundamental language of computers, where bits would be used to store and process all digital information."
