date,title,subtitle,image,text
-100 000,Naissance du calcul,,card_m100000.png,"Le mot calcul vient du latin calculus, qui signifie « caillou ». Bien avant l’invention des nombres, les bergers comptaient leurs moutons à l’aide de petites pierres : un animal, un caillou. Lorsque tous étaient rentrés dans l’enclos, le nombre de pierres donnait le compte exact. Ainsi naquit le calcul."
-3 300,L’écriture : mémoriser l’information,,card_m3300.png,"Les Sumériens inventent l'écriture cunéiforme en Mésopotamie. Pour la première fois, les informations peuvent être enregistrées durablement sur des tablettes d'argile plutôt que mémorisées par l'homme. Cette externalisation de la mémoire constitue une étape essentielle vers le stockage des données, l'un des fondements de l'informatique."
-3 000,Les chiffres égyptiens,,card_m3000.png,"Les Égyptiens développent un système complet d'écriture des nombres permettant de compter, mesurer et réaliser de grands travaux d'ingénierie. L'apparition de symboles dédiés aux quantités marque une étape importante dans l'histoire du calcul."
-1 800,Tablettes babyloniennes : \n résolution d’équations,,card_m1800.png,"À l'aide de tablettes d'argile gravées en cunéiforme, ils développent des méthodes algorithmiques pour résoudre des problèmes d'algèbre. Plus de trois millénaires avant l'informatique, ils démontrent que des règles de calcul peuvent être appliquées de manière systématique, annonçant les futurs algorithmes."
- 300,Euclide : le 1er algorithme célèbre,,card_m300.png,"Dans les Éléments, Euclide décrit une méthode systématique permettant de calculer le plus grand diviseur commun de deux nombres. Plus de deux mille ans plus tard, cet algorithme est toujours enseigné et utilisé en informatique. Il illustre parfaitement qu'un problème peut être résolu par une suite d'instructions précises."
450,Invention du 0,,card_450.png,"Vers le Ve siècle en Inde, le mathématicien et astronome Brahmagupta introduit un signe nouveau pour représenter l’absence. En dessinant le vide, le néant, le rien, il rend enfin représentable ce qui ne l’était pas. Le zéro ouvre ainsi la voie au calcul positionnel. Transmis au monde arabe puis à l'Europe, ce système devient le langage universel des mathématiques"
820,Al-Khwārizmī invente les algorithmes,,card_820.png,"Le savant perse Al-Khwārizmī rédige un traité décrivant des méthodes systématiques pour effectuer les calculs. Son nom latinisé, Algoritmi, donnera naissance au mot algorithme. Son ouvrage contribue à diffuser les chiffres indo-arabes en Occident et fonde l'idée qu'un calcul peut être réalisé en suivant une procédure précise."
1200,Invention du boulier,,card_1200.png,"Héritier de techniques de calcul anciennes, le boulier se développe largement en Chine autour du XIIIᵉ siècle. Grâce à ses rangées de billes mobiles, il permet de représenter les nombres et d’effectuer rapidement des opérations arithmétiques. En rendant les quantités visibles et manipulables, il constitue une étape majeure dans l’histoire des outils de calcul et annonce les futures machines à calculer."
1202,Introduction en Europe \n des chiffres indo-arabes,Leonardo Fibonacci,card_1202.png,"Leonardo Fibonacci publie le Liber Abaci, ouvrage qui introduit en Europe les chiffres indo-arabes et les méthodes modernes de calcul. Plus simples que les chiffres romains, ces nouvelles notations révolutionnent le commerce, la comptabilité et les mathématiques."
1450,Invention de l’imprimerie,Johannes Gutenberg,card_1450.png,"Révolutionne l'Europe à Mayence avec l'invention des caractères mobiles en métal. Sa presse à vis, adaptée de celles des vignerons, permet la reproduction rapide et massive de textes. En 1455, il achève la « Bible à 42 lignes », premier grand livre imprimé. Cette technologie brise le monopole des moines copistes et démocratise l'accès au savoir. Elle est le moteur de la Renaissance et de la propagation des idées à travers le continent. Cette innovation a transformé la diffusion du savoir en permettant la production en série de livres et de documents, ouvrant ainsi la voie à une nouvelle ère de communication et d'échanges culturels."
